site_id,year,year_id,winter_GDD,scaled_winter_GDD
16,2009,26,1170.081508,0.180214862
16,2010,27,976.6327406,-1.313662347
16,2011,28,1154.577544,0.060487976
16,2012,29,1298.287037,1.170261592
16,2013,30,1040.026271,-0.82411593
16,2014,31,1128.121308,-0.143816076
16,2015,32,1071.978853,-0.577367224
16,2016,33,1106.46656,-0.311041413
16,2017,34,1184.812915,0.293975806
16,2018,35,992.1355481,-1.193944392
17,1984,1,1229.674409,0.64041153
17,1985,2,1182.441673,0.27566427
17,1986,3,1072.51656,-0.573214863
17,1987,4,1213.158948,0.512873513
17,1988,5,1314.443778,1.295029441
17,1989,6,1354.540638,1.604671037
17,1990,7,1382.27139,1.818817343
17,1991,8,1215.27921,0.529246897
17,1992,9,1323.91116,1.368139788
17,1993,10,1329.185943,1.408873453
17,1994,11,1237.55186,0.70124388
17,1995,12,1280.855431,1.035648792
17,1996,13,1178.51015,0.245303704
17,1997,14,1309.165116,1.254265813
17,1998,15,1308.95698,1.252658523
17,1999,16,1276.51387,1.002121785
17,2000,17,1243.154345,0.744508181
17,2001,18,1109.762892,-0.285586014
17,2002,19,1314.365229,1.294422857
17,2003,20,1226.133697,0.613068941
17,2004,21,1199.468155,0.407148556
17,2005,22,1233.896977,0.673019632
17,2006,23,1113.689315,-0.255264842
17,2007,24,1215.75099,0.532890147
17,2008,25,1185.958674,0.302823742
17,2009,26,1112.572777,-0.263887125
17,2010,27,904.3462392,-1.87188331
17,2011,28,1102.390297,-0.342519702
17,2012,29,1251.740059,0.810809981
17,2013,30,972.0485605,-1.349062945
17,2014,31,1081.591655,-0.503133893
17,2015,32,1011.527891,-1.044190117
17,2016,33,1047.403829,-0.76714392
17,2017,34,1139.497593,-0.055964533
17,2018,35,926.2194441,-1.702970978
18,1984,1,1195.774183,0.378622445
18,1985,2,1150.988903,0.032775271
18,1986,3,1036.664994,-0.850072861
18,1987,4,1186.238352,0.304983511
18,1988,5,1279.78616,1.027391519
18,1989,6,1324.853238,1.375414832
18,1990,7,1358.209205,1.633000959
18,1991,8,1184.535075,0.291830227
18,1992,9,1297.219496,1.162017673
18,1993,10,1302.803269,1.205137473
18,1994,11,1209.488223,0.484526931
18,1995,12,1254.158464,0.829485731
18,1996,13,1152.026354,0.04078682
18,1997,14,1288.306007,1.093184681
18,1998,15,1280.500047,1.032904396
18,1999,16,1247.798549,0.780372303
18,2000,17,1211.68526,0.501493194
18,2001,18,1079.665023,-0.518011998
18,2002,19,1286.618822,1.080155659
18,2003,20,1194.243586,0.366802657
18,2004,21,1162.694785,0.123172076
18,2005,22,1205.041284,0.450186151
18,2006,23,1079.68226,-0.517878894
18,2007,24,1185.362048,0.298216398
18,2008,25,1154.364178,0.058840296
18,2009,26,1078.800196,-0.524690491
18,2010,27,866.6051031,-2.163333205
18,2011,28,1076.920356,-0.539207253
18,2012,29,1230.813677,0.649209344
18,2013,30,940.5491763,-1.592311909
18,2014,31,1054.56969,-0.711806701
18,2015,32,979.5885722,-1.290836409
18,2016,33,1017.539837,-0.997763827
18,2017,34,1116.016908,-0.237290377
18,2018,35,894.431165,-1.948450886
19,1984,1,1216.584202,0.539324493
19,1985,2,1176.016309,0.226045422
19,1986,3,1054.597883,-0.711588988
19,1987,4,1208.962095,0.480463993
19,1988,5,1296.027404,1.152811932
19,1989,6,1341.3073,1.502478699
19,1990,7,1376.336021,1.772982399
19,1991,8,1199.680201,0.408786043
19,1992,9,1316.528365,1.31112733
19,1993,10,1319.211917,1.33185063
19,1994,11,1233.786629,0.67216749
19,1995,12,1277.309059,1.008262508
19,1996,13,1165.29928,0.143284872
19,1997,14,1302.281857,1.201110945
19,1998,15,1295.511518,1.148828088
19,1999,16,1268.422197,0.939635131
19,2000,17,1226.945512,0.619338053
19,2001,18,1101.300831,-0.350932928
19,2002,19,1301.003638,1.191240103
19,2003,20,1213.05377,0.512061295
19,2004,21,1180.174788,0.258158611
19,2005,22,1221.222535,0.575143283
19,2006,23,1097.688218,-0.378830758
19,2007,24,1200.768616,0.417191153
19,2008,25,1175.16107,0.219440974
19,2009,26,1094.312484,-0.404899323
19,2010,27,878.473855,-2.071678664
19,2011,28,1087.922023,-0.454248635
19,2012,29,1248.970471,0.789422281
19,2013,30,960.6831023,-1.436830882
19,2014,31,1066.149722,-0.62238175
19,2015,32,997.2898606,-1.154141036
19,2016,33,1033.599466,-0.873745908
19,2017,34,1130.68784,-0.123996445
19,2018,35,913.4422286,-1.801640984
20,1984,1,1125.905889,-0.160924296
20,1985,2,1078.736242,-0.52518436
20,1986,3,987.7276669,-1.22798355
20,1987,4,1119.449214,-0.21078494
20,1988,5,1235.112973,0.682409967
20,1989,6,1267.900098,0.935603302
20,1990,7,1295.083515,1.145522899
20,1991,8,1143.091744,-0.028209278
20,1992,9,1248.993171,0.789597579
20,1993,10,1263.807605,0.903999678
20,1994,11,1134.483235,-0.094687114
20,1995,12,1186.025062,0.303336412
20,1996,13,1104.754305,-0.324264027
20,1997,14,1233.804079,0.672302246
20,1998,15,1239.369073,0.715277023
20,1999,16,1193.677979,0.362434847
20,2000,17,1176.501735,0.229794042
20,2001,18,1006.958813,-1.079474094
20,2002,19,1232.200695,0.659920364
20,2003,20,1138.885426,-0.060691898
20,2004,21,1105.534521,-0.318238931
20,2005,22,1182.507819,0.27617507
20,2006,23,1034.370999,-0.867787868
20,2007,24,1144.230663,-0.019414158
20,2008,25,1086.480654,-0.465379378
20,2009,26,1048.762198,-0.756654133
20,2010,27,819.1646398,-2.529684608
20,2011,28,1034.558005,-0.866343739
20,2012,29,1184.975015,0.295227594
20,2013,30,885.2307076,-2.01949995
20,2014,31,1012.573442,-1.036116019
20,2015,32,931.5935335,-1.66147043
20,2016,33,970.178412,-1.363504869
20,2017,34,1066.228833,-0.621770834
20,2018,35,841.0734533,-2.360497294
21,1984,1,1114.162048,-0.251614236
21,1985,2,1070.724279,-0.587055466
